"Source:","C:\Users\acste\Desktop\BMS\BMS\BMS.kicad_sch"
"Date:","2/04/2024 11:28:19 AM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~",""
"2","1","C2","2nf","Device:C","","~",""
"3","1","D1","LED_KGRB","Device:LED_KGRB","LED_THT:LED_D5.0mm-4_RGB","~",""
"4","1","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~",""
"5","1","J2","Conn_01x04_Pin","Connector:Conn_01x04_Pin","","~",""
"6","1","J3","Conn_01x03_Pin","Connector:Conn_01x03_Pin","","~",""
"7","1","J4","Conn_01x06_Pin","Connector:Conn_01x06_Pin","","~",""
"8","1","K1","SANYOU_SRD_Form_C","Relay:SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf",""
"9","5","Q1, Q2, Q5, Q7, Q8","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF",""
"10","1","Q3","IRL540","Transistor_FET:IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf",""
"11","1","Q6","ZVP2106A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF",""
"12","5","R1, R3, R6, R7, R8","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"13","4","R2, R4, R5, R12","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"14","1","R9","150R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"15","1","R10","100R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"16","1","R11","90R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"17","1","R13","30K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"18","1","R14","7.5K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"19","2","TH1, TH2","Thermistor_NTC","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~",""
"20","1","U1","LM393","Comparator:LM393","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf",""
"21","1","U2","MC78L05_TO92","Regulator_Linear:MC78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/MC78L00A-D.PDF",""
"22","1","U3","74HC02","74xx:74HC02","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74hc02",""
"23","1","U4","LMC555xN","Timer:LMC555xN","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lmc555.pdf",""
