"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1206_3216Metric";1;"330nf";;;
2;"C5,C8";"C_1206_3216Metric";2;"47n";;;
3;"C2";"C_1206_3216Metric";1;"100nf";;;
4;"Gain1";"Potentiometer_Piher_PT-6-V_Vertical";1;"1kB";;;
5;"SW1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"MAIN SW";;;
6;"J2";"JST 1.25mm THT 01x04";1;"OLED";;;
7;"Vol1";"Potentiometer_Piher_PT-6-V_Vertical";1;"10kB";;;
8;"R1";"R_1206_3216Metric";1;"1M5";;;
9;"C6";"CP_Elec_6.3x7.7";1;"100u";;;
10;"J3";"JST 1.25mm THT 01x04";1;"ROT ENC ";;;
11;"C3";"CP_Elec_5x5.4";1;"10uf 35V";;;
12;"U1";"SOT-223";1;"L7805";;;
13;"C7";"CP_Elec_8x10.5";1;"220u";;;
14;"R2";"R_1206_3216Metric";1;"3k9";;;
15;"R3";"R_1206_3216Metric";1;"10R";;;
16;"SW2";"JST 1.25mm THT 01x02";1;"Home SW";;;
17;"U3";"Teensy 4.0 audioshield";1;"Teensy4.0_AudioShield_REVD";;;
18;"U2";"DIP-8_W7.62mm";1;"LM386";;;
19;"C4";"C_1206_3216Metric";1;"100n";;;
20;"Q1";"TO-92";1;"MPF102";;;
21;"J9";"JST 1.25mm THT 01x02";1;"BACK I";;;
22;"J6";"JST 1.25mm THT 01x02";1;"SP O";;;
23;"J1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Batt I";;;
24;"J5";"JST 1.25mm THT 01x02";1;"HP O";;;
25;"J8";"JST 1.25mm THT 01x04";1;"LINE I/PKP V";;;
26;"J7";"JST 1.25mm THT 01x02";1;"AU O";;;
27;"J4";"JST 1.25mm THT 01x03";1;"RGB O";;;
